#x	He3_EMC	He3_Error	H3_EMC	H3_Error	H3/He3 	H3/He3 Error
0.195	1.06987677	0.007268165	0.962248952	0.006696641	0.898890781	0.006403239
0.225	1.069976228	0.007286261	0.952154127	0.00663889	0.88944485	0.006343373
0.255	1.069789438	0.007756755	0.937419861	0.006929226	0.875922647	0.006608523
0.285	1.077175423	0.008058586	0.928015318	0.007111388	0.861293656	0.006771843
0.315	1.06218699	0.008343821	0.920314035	0.007431218	0.866316498	0.007216082
0.345	1.078018742	0.009053466	0.919953904	0.007855565	0.85338444	0.007441263
0.375	1.087725521	0.01051681	0.923628287	0.00894066	0.849276753	0.008233936
0.405	1.078319265	0.011467269	0.884041891	0.009334712	0.820096254	0.008581148
0.435	1.063510303	0.011455725	0.880674527	0.009512495	0.828479413	0.008943353
0.465	1.080243146	0.011641627	0.879993242	0.009574266	0.815143821	0.008916641
0.495	1.101208099	0.011575252	0.890013314	0.009458066	0.808855794	0.008647111
0.525	1.105582681	0.012369665	0.875879571	0.009879275	0.792982046	0.009043822
0.555	1.089145544	0.012101094	0.858206563	0.009674168	0.788824709	0.008966645
0.585	1.082513952	0.012401374	0.852095464	0.009928187	0.788118778	0.009236598
0.615	1.081924698	0.012799763	0.85129007	0.010218942	0.787911592	0.00950905
0.645	1.106340862	0.013338637	0.854548317	0.010428676	0.773574621	0.009481759
0.675	1.079446718	0.013748967	0.835753777	0.010781064	0.775508789	0.010046154
0.705	1.117714791	0.013848135	0.851675422	0.010654824	0.763317387	0.00953807
0.735	1.118401765	0.013606955	0.856507578	0.010511417	0.767264759	0.009406153
0.765	1.128497388	0.013896141	0.855533925	0.010628248	0.759619006	0.009422415
0.795	1.130839635	0.015025937	0.859251615	0.011512069	0.761418092	0.010172901
0.825	1.149021709	0.018040926	0.880431836	0.013885236	0.767915761	0.012027375
